review_id,review_text,sentiment
10651,I REALLY ENJOYED IT; WILL WATCH AGAIN. THE CINEMATOGRAPHY WAS DECENT.,1
2042,"Great experience, highly recommend to everyone.",1
8669,Excellent production and the cast did a marvelous job.,1
1115,Fantastic plot and wonderful performances. The script needed polishing.,1
13903,I really enjoyed it; will watch again.,1
11964,TERRIBLE FILM. THE PLOT WAS WEAK AND PREDICTABLE.,0
11073,Weak plot and poor performances.,0
3003,A mess — confusing and unengaging. The pace felt slow.,0
19772,"Waste of time, not worth watching.",0
8116,I really enjoyed it; will watch again.,1
3526,"ENTERTAINING, EMOTIONAL AND BEAUTIFULLY DIRECTED.",1
7880,Weak plot and poor performances.,0
16442,"Entertaining, emotional and beautifully directed. A very satisfying cinematic experience.",1
16297,Weak plot and poor performances. The dialogues were sharp.,0
12567,"GREAT EXPERIENCE, HIGHLY RECOMMEND TO EVERYONE.",1
5253,I really enjoyed it; will watch again.,1
19394,Amazing film! The story was gripping and I was impressed. The script needed polishing.,1
16797,"I loved this movie, it was fantastic and the acting was superb. The visual effects were impressive.",1
8095,"Entertaining, emotional and beautifully directed.",1
323,Weak plot and poor performances. The pace felt slow.,0
9924,I really enjoyed it; will watch again. The soundtrack was forgettable. One of the worst movies I've seen. Disappointing.,1
7460,Terrible film. The plot was weak and predictable.,0
19025,Bad production and the cast seemed uninterested. It missed emotional depth.,0
17554,A frustrating and forgettable movie. The script needed polishing.,0
9120,Amazing film! The story was gripping and I was impressed.,1
16422,Excellent production and the cast did a marvelous job. The dialogues were sharp.,1
16061,Fantastic plot and wonderful performances.,1
10121,One of the worst movies I've seen. Disappointing. Poorly written and badly executed.,0
19056,A frustrating and forgettable movie.,0
3650,ONE OF THE BEST MOVIES I'VE SEEN THIS YEAR. BRILLIANT!,1
3942,I really enjoyed it; will watch again. The cinematography was decent.,1
17881,Amazing film! The story was gripping and I was impressed.,1
16676,I did not enjoy it; wouldn't recommend.,0
12631,A VERY SATISFYING CINEMATIC EXPERIENCE.,1
11444,A very satisfying cinematic experience. The soundtrack was forgettable.,1
12158,"I hated this movie, it was boring and the acting was terrible.",0
13836,Bad production and the cast seemed uninterested. The soundtrack was forgettable.,0
3435,Weak plot and poor performances.,0
18740,I really enjoyed it; will watch again. The pace felt slow.,1
17408,Bad production and the cast seemed uninterested.,0
15441,Bad production and the cast seemed uninterested.,0
10407,"Fantastic plot and wonderful performances. Great experience, highly recommend to everyone.",1
6518,AMAZING FILM! THE STORY WAS GRIPPING AND I WAS IMPRESSED.,1
972,One of the best movies I've seen this year. Brilliant! It missed emotional depth.,1
16488,A masterpiece — compelling and heartwarming.,1
19731,A masterpiece — compelling and heartwarming. The cinematography was decent.,1
13138,Poorly written and badly executed. It missed emotional depth.,0
3670,"I hated this movie, it was boring and the acting was terrible.",0
15984,"Great experience, highly recommend to everyone.",1
4059,A very satisfying cinematic experience. It had funny moments.,1
14977,"Entertaining, emotional and beautifully directed. The pace felt slow.",1
15699,"I LOVED THIS MOVIE, IT WAS FANTASTIC AND THE ACTING WAS SUPERB. THE SCRIPT NEEDED POLISHING.",1
13830,POORLY WRITTEN AND BADLY EXECUTED. IT HAD FUNNY MOMENTS.,0
13420,One of the best movies I've seen this year. Brilliant! Amazing film! The story was gripping and I was impressed.,1
961,One of the best mo?ies I've seen this year. Brilliant! I liked the character arcs.,1
17745,Poorly written and badly executed.,0
9865,Excellent production and the cast did a marvelous job. I liked the character arcs.,1
11264,Bad production and the cast seemed uninterested. The script needed polishing.,0
15783,"Entertaining, emotional and beautifully directed.",1
17197,Fantastic plot and wonderful performances. I liked the character arcs.,1
7555,Fantastic plot and wonderful performances.,1
10499,A mess — confusing and unengaging. Bad production and the cast seemed uninterested.,0
17060,A masterpiece — compelling and heartwarming.,1
17929,I really enjoyed it; will watch again.,1
7086,Excellent production and the cast did a marvelous job.,1
14754,A very satisfying cinematic experience. Excellent production and the cast did a marvelous job.,1
4520,"I hated this movie, it was boring and the acting was terrible.",0
3025,A very satisfying cinematic e.perience. Amazing film! The story was gripping and I was impressed.,1
12122,"Entertaining, emotional and beautifully directed. I did not enjoy it; wouldn't recommend.",1
18495,Terrible film. The plot was weak and predictable.,0
5484,"I LOVED THIS MOVIE, IT WAS FANTASTIC AND THE ACTING WAS SUPERB.",1
1420,Weak plot and poor performances.,0
6210,A mess — confusing and unengaging.,0
10743,Bad production and the cast seemed uninterested. The script needed polishing.,0
16144,One of the worst movies I've seen. Disappointing. The visual effects were impressive. A masterpiece — compelling and heartwarming.,0
17618,"Entertaining, emotional and beautifully directed.",1
14569,"Entertaining, emotional and beautifully directed.",1
981,Poorly written and badly executed.,0
2784,"Waste of time, not worth watching. I liked the character arcs.",0
7714,I really enjoyed it; will watch again. The pace felt slow. Bad production and the cast seemed uninterested.,1
11519,A masterpiece — compelling and heartwarming.,1
8601,Poorly written and badly executed.,0
11641,Bad production and the cast seemed uninterested.,0
18831,A mess — confusing and unengaging.,0
12563,"Waste o. time, not worth watching. The soundtrack was forgettable.",0
12752,"I hated this movie, it was boring and the acting was terrible. Poorly written and badly executed.",0
6385,Weak plot and poor performance?.,0
4808,"I LOVED THIS MOVIE, IT WAS FANTASTIC AND THE ACTING WAS SUPERB.",1
6196,Bad production and the cast seemed uninterested.,0
10649,Fantastic plot and wonderful performances.,1
7568,A FRUSTRATING AND FORGETTABLE MOVIE.,0
16398,"ENTERTAINING, EMOTIONAL AND BEAUTIFULLY DIRECTED. THE PACE FELT SLOW.",1
17525,A mess — confusing and unengaging.,0
1347,Excellent production and the cast did a marvelous job. The soundtrack was forgettable.,1
13125,Terrible film. The plot was weak and predictable. The soundtrac. was forgettable.,0
12674,Amazing film! The story was gripping and I was impressed. It missed emotional depth.,1
15456,Terrible film. The plot was weak and predictable.,0
14002,A very satisfying cinematic experience. I liked the character arcs.,1
18622,I really enjoyed it; will watch again. It missed emotional depth.,1
2120,A frustrating and forgettable movie. The dialogues were sharp.,0
15305,Bad production and the cast seemed uninterested. It missed emotional depth. Poorly written and badly executed.,0
4310,I REALLY ENJOYED IT; WILL WATCH AGAIN.,1
4485,Fantastic plot and wonderful performances. The visual effects were impressive.,1
11014,"Entertaining, emotional and beautifully directed. It had funny moments.",1
4771,I did not enjoy it; wouldn't recommend.,0
2713,A mess — confusing and unengaging.,0
12187,"I loved this movie, it was fantastic and the acting was superb. The soundtrack was forgettable.",1
16616,I DID NOT ENJOY IT; WOULDN'T RECOMMEND.,0
10948,Amazing film! The story was gripping and I was impressed.,1
2546,Amazing film! The story was gripping and I was impressed.,1
12620,A mess — confusing and unengaging. I liked the character arcs. A frustrating and forgettable movie.,0
9852,Amazing film! The story was gripping and I was impressed. It missed emotional depth.,1
4411,A very satisfying cinematic experience.,1
19648,"I loved this movie, it was fantastic and the acting was superb.",1
12345,"I love! this movie, it was fantastic and the acting was superb.",1
12408,A frustrating and forgettable movie. The dialogues were sharp.,0
9611,"Entertaining, emotional and beautifully directed.",1
10719,A frustrating and forgettable movie. It missed emotional depth.,0
7572,One of the best movies I've seen this year. Brilliant! The cinematography was decent.,1
3571,Fantastic plot and wonderful performances.,1
8603,Excellent production and the cast did a marvelous job.,1
3560,Terrible film. The plot was weak and predictable. The dialogues were sharp.,0
4992,One of the worst movies I've seen. Disappointing.,0
7440,One of the worst movies I've seen. Disappointing. I liked the character arcs.,0
9326,Weak plot and poor performances.,0
2301,TERRIBLE FILM. THE PLOT WAS WEAK AND PREDICTABLE.,0
7667,"I loved this movie, it was fantastic and the acting was superb. The visual effects were impressive.",1
5805,Fantastic plot and wonderful performances.,1
12023,"Entertaining, emotional and beautifully directed.",1
15538,Terrible film. The plot was weak and predictable.,0
9758,TERRIBLE FILM. THE PLOT WAS WEAK AND PREDICTABLE. THE VISUAL EFFECTS WERE IMPRESSIVE.,0
12015,"Entertaining, emotional and beautifully directed.",1
5212,Fantastic plot and wonderful performances.,1
11549,Amazing film! The story was grippin! and I was impressed.,1
12367,Weak plot and poor performances. I liked the character arcs. Terrible film. The plot was weak and predictable.,0
9271,"Poorly written and badly executed. Waste of time, not worth watching.",0
3976,"Waste of time, not worth watching. The dialogues were sharp.",0
16091,Weak plot and poor performances. The dialogues were sharp.,0
17233,Terrible film. The plot was weak and predictable. It missed emotional depth.,0
17444,FANTASTIC PLOT AND WONDERFUL PERFORMANCES. Bad production and the cast seemed uninterested.,1
13657,Bad production and the cast seemed uninterested.,0
15646,"Waste of time, not worth watching. The visual effects were impressive.",0
2731,"I HATED THIS MOVIE, IT WAS BORING AND THE ACTING WAS TERRIBLE. THE VISUAL EFFECTS WERE IMPRESSIVE.",0
3299,Bad production and the cast seemed uninterested. It missed emotional depth.,0
8957,A mess — confusing and unengaging.,0
17411,"One of the best movies I've seen this year. Brilliant! It missed emotional depth. Waste of time, not worth watching.",1
15156,Excellent production and the cast did a marvelous job. The visual effects were impressive.,1
17277,A MASTERPIECE — COMPELLING AND HEARTWARMING. IT HAD FUNNY MOMENTS.,1
6704,I did not enjoy it; wouldn't recommend.,0
1969,One of the worst movies I've seen. Disappointing. The soundtrack was forgettable.,0
4937,One of the worst movies I've seen. Disappointing. The cinematography was decent.,0
2113,Amazing film! The story was gripping and I was impressed.,1
879,"I hated this movie, it was boring and the acting was terrible.",0
19076,"Entertaining, emotional and beautifully directed. I liked the character arcs.",1
12990,I really enjoyed it; will watch again.,1
7278,I did not enjoy it; wouldn't recommend.,0
5710,I did not enjoy it; wouldn't recommend.,0
12079,One of the worst movies I've seen. Disappointing.,0
6688,"I HATED THIS MOVIE, IT WAS BORING AND THE ACTING WAS TERRIBLE. I did not enjoy it; wouldn't recommend.",0
6419,A masterpiece — compelling and heartwarming. The script needed polishing.,1
10432,A frustrating and forgettable movie. The dialogues were sharp.,0
9983,A mess — confusing an... unengaging.,0
19074,Bad production and the cast seemed uninterested.,0
4630,"I hated this movie, it was boring and the acting was terrible. I liked the character arcs.",0
8863,Bad production and the cast seemed uninterested. I really enjoyed it; will watch again.,0
4668,I really enjoyed it; will watch again.,1
14164,A VERY SATISFYING CINEMATIC EXPERIENCE. I did not enjoy it; wouldn't recommend.,1
386,Poorly written and badly executed.,0
4187,Bad production and the cast seemed uninterested. The dialogues were sharp.,0
5346,One of the worst movies I've seen. Disappointing. It had funny moments.,0
2196,A masterpiece — compelling and heartwarming.,1
14991,"Great experience, highly recommend to everyone. The cinematography was decent.",1
12635,TERRIBLE FILM. THE PLOT WAS WEAK AND PREDICTABLE. THE SCRIPT NEEDED POLISHING.,0
1078,"I HATED THIS MOVIE, IT WAS BORING AND THE ACTING WAS TERRIBLE.",0
6287,I did not enjoy it; wouldn't recommend. The cinematography was decent.,0
5934,"Great experience, highly recommend to everyone.",1
18513,AMAZING FILM! THE STORY WAS GRIPPING AND I WAS IMPRESSED.,1
19718,Amazing film! The story was gripping and I was impressed. The dialogues were sharp. Poorly written and badly executed.,1
13364,A frustrating and forgettable movie. The visual effects were impressive. A frustrating and forgettable movie.,0
8073,Fantastic plot and wonderful performances.,1
17021,Weak plot and poor performances. It had funny moments.,0
9544,One of the best movies I've seen this year. Brilliant! The script needed polishing.,1
